search_rank,product_name,old_price,discount,new_price,rating,number_of_ratings,official_store,brand_name,source
98,"Iku A12 Dual SIM, 64GB Memory, 4GB RAM,  6.5"" Inches - Twilight Blue",5174.0,11,4599.0,,0,Non,Not a brand,Jumia
99,Nokia New 105 Dual Sim - Mobile Phone - Charcoal +Free Mobile Holder,999.0,10,899.0,,0,Non,Not a brand,Jumia
100,"Samsung Galaxy M33 Dual SIM, 128GB, 8GB, 5G, Brown",14566.0,4,13914.0,,0,Non,Not a brand,Jumia
101,Infinix X688B Hot 11 - 6.82inch 64GB/4GB Dual SIM Mobile Phone - Exploratory Blue,6666.0,35,4365.0,,0,Non,Not a brand,Jumia
102,Decoratieve Telefoonparaplu  Anti-reflectie Voor Black,230.0,29,164.0,,0,Non,Not a brand,Jumia
103,"Infinix Smart 6 Plus 64GB/3GB(Up To 6GB) Ram Dual Sim 4G, 5000 MAh - Tranquil Sea Blue",5289.0,13,4599.0,,0,Non,Not a brand,Jumia
104,"OPPO A16K, 6.52"", 64GB, 4GB RAM, 4230 MAh - Blue",6899.0,13,5979.0,,0,Non,Not a brand,Jumia
105,Samsung Galaxy A14 - 6.6 Inches -64GB-4GB Ram– Dula Sim Mobile 4G – Black,6999.0,19,5666.0,,0,Non,Not a brand,Jumia
106,XIAOMI Redmi 9A - 6.53-inch 32GB/2G Dual Sim 4G Mobile Phone - Granite Gray,5999.0,27,4399.0,,0,Non,Not a brand,Jumia
107,XIAOMI Redmi Note 11 6GB Ram 128GB Memory - Graphite Gray,11499.0,12,10119.0,,0,Non,Not a brand,Jumia
108,"Iku T8 Tablet 8 Inch, 2GB RAM, 16GB, 4G-Grey",3253.95,0,3253.95,,0,Non,Not a brand,Jumia
109,"OPPO A16, 6.52"", 64GB, 4GB RAM, 5000 MAh - Pearl Blue",8049.0,14,6899.0,,0,Non,Not a brand,Jumia
110,Vivo Y22 - 6.55-inch 4GB/128GB Dual Sim 4G Mobile Phone - Starlite Blue,7999.0,8,7390.99,,0,Non,Not a brand,Jumia
111,"Iku Mobile X4 64GB, 4GB RAM 6.39"" Inches - Ocean Teal",5749.0,16,4829.0,,0,Non,Not a brand,Jumia
112,Vivo Y16 - 6.5 Inch - 64G/4G - Dual Sim 4G Mobile Phone - Drizzling Gold,5999.0,8,5545.0,,0,Non,Not a brand,Jumia
113,Bling Rhinestone Crystal Car Air Vent Automatic Phone Holder Golden,291.0,33,194.0,,0,Non,Not a brand,Jumia
