search_rank,product_name,old_price,discount,new_price,rating,number_of_ratings,official_store,brand_name,source
1878,Mesery Cotton Printed T-Shirt For Men - Maroon,299.0,54,139.0,5.0,2,official_store,mesery,Jumia
1879,Defacto Man Slim Fit Knitted Body.,498.8,10,448.8,5.0,2,official_store,defacto,Jumia
1880,Mesery Cotton Printed T-Shirt For Men - Gray,299.0,54,139.0,0.0,0,official_store,mesery,Jumia
1881,Umbro FOOTBALL T-SHIRT (PLAYER JERSEY) FOR MEN COLOUR BLACK,1069.0,40,739.0,0.0,0,Non,Not a brand,Jumia
1882,Izor Buttoned Cotton Plain T-Shirt - Grey,499.0,67,164.0,4.5,2,official_store,izor,Jumia
1883,Izor Basic Cotton Solid T-Shirt - Lemon,399.0,59,164.0,4.6,5,official_store,izor,Jumia
1884,ADIDAS Men's • Training YOGA TRAINING TEE HC4433,1379.0,35,899.1,0.0,0,official_store,adidas,Jumia
1885,Casual Polo Shirt For Men _ Pink,500.0,75,125.0,5.0,1,Non,Not a brand,Jumia
1886,Diadora Men Cotton Printed T-Shirt - Black,359.0,30,251.0,5.0,1,Non,Not a brand,Jumia
1887,White Rabbit Printed Comfortable Short Sleeve T-Shirt Black,149.0,50,149.0,0.0,0,Non,Not a brand,Jumia
1888,American Eagle Super Soft Logo Graphic T-Shirt,1300.0,40,780.0,0.0,0,Non,Not a brand,Jumia
1889,Fashion Spider Venom T-shirt 3d Printed T-shirts Men Women Casual Shirt Short Sleeve Fitness T Shirt Deadpool Tees Spider Man Skull Tops(#D547),1094.0,20,875.0,0.0,0,Non,Not a brand,Jumia
1890,Izor Printed Buttoned Neck Short Sleeves Henley T-shirt - Pink,399.0,61,154.0,4.8,11,official_store,izor,Jumia
1891,Matalan Basic V Neck T-shirt,220.0,20,175.0,5.0,1,official_store,matalan,Jumia
1892,Defacto Regular Fit Short Sleeve T-Shirt.,328.86,30,228.9,4.5,2,official_store,defacto,Jumia
1893,Izor Basic Solid Pattern Heather Grey T-Shirt With Black Neck Collar,499.0,63,184.0,5.0,1,official_store,izor,Jumia
1894,"Active Color Block Round Neck T-Shirt - Red, Navy & Heather Grey",399.0,54,185.0,2.0,1,official_store,active,Jumia
1895,White Rabbit Patterned Short Sleeves Red T-shirt,341.0,50,170.0,5.0,1,Non,Not a brand,Jumia
1896,Mesery Cotton Printed T-Shirt For Men - Black,299.0,54,139.0,5.0,1,official_store,mesery,Jumia
1897,Dice 100% Cotton Six Sleeveless Solid Men T-shirt - White,350.0,6,329.0,0.0,0,Non,Not a brand,Jumia
1898,Andora Short Sleeves Aquamarine Printed Cotton Tee,375.0,60,149.0,4.0,1,Non,Not a brand,Jumia
1899,American Eagle Long-Sleeve T-Shirt,1400.0,40,840.0,4.0,1,Non,Not a brand,Jumia
1900,Andora Round Neck Black Print Text Over Heather Grey Tee,375.0,60,149.0,0.0,0,Non,Not a brand,Jumia
1901,Mesery Cotton Printed T-Shirt For Men - Black,299.0,54,139.0,5.0,1,official_store,mesery,Jumia
1902,Air Walk Slip On Front Printing Ound T-shirt - Black & Yellow,499.0,64,179.0,0.0,0,official_store,air,Jumia
1903,Diadora Men Cotton Basic Shirt Neck Style T-Shirt - Grey,349.0,30,244.0,0.0,0,Non,Not a brand,Jumia
1904,American Eagle Colorblock Heather Icon T-Shirt,750.0,50,375.0,5.0,4,Non,Not a brand,Jumia
1905,Caesar Over Size Mens T-shirt,333.0,48,174.0,4.6,5,official_store,caesar,Jumia
1906,High Quality Mens Casual Long Sleeve Tops Punk Style Oversized V Collar T Shirts  Male Vintage  66 3D Printed T Shirts-CT06,1813.12,41,1078.08,0.0,0,Non,Not a brand,Jumia
1907,ADIDAS Men's • Soccer ENTRADA 22 JERSEY HC5071,1129.0,0,1129.0,0.0,0,official_store,adidas,Jumia
1908,Defacto Oversize Fit Crew Neck Printed T-Shirt,399.0,25,299.04,5.0,1,official_store,defacto,Jumia
1909,ADIDAS AEROREADY DESIGNED TO MOVE SPORT 3-STRIPES TANK TOP GM2130,1159.0,32,789.0,0.0,0,Non,Not a brand,Jumia
1910,Fashion Men's Oversize T-shirt Vintage Knight Templar Usa Flag Print 3D Print Fashion Casual T-shirt Streetwear Loose Short Sleeve Tops-TSM00549GC,179.05,0,179.05,5.0,1,Non,Not a brand,Jumia
1911,American Eagle Short-Sleeve V-Neck T-Shirt,850.0,40,510.0,0.0,0,Non,Not a brand,Jumia
1912,Izor Buttoned Cotton Plain T-Shirt - Olive,499.0,67,164.0,3.8,9,official_store,izor,Jumia
1913,Mesery Cotton Printed T-Shirt For Men - Maroon,299.0,54,139.0,5.0,2,official_store,mesery,Jumia
1914,Nike Mensports Wear Tee Icon Futura Mens  AR5004-100,1249.0,0,1249.0,0.0,0,official_store,nike,Jumia
1915,Activ Upper Zipper Mock Neck Patterned T-Shirt - Dark Beige,599.0,56,265.0,0.0,0,official_store,activ,Jumia
1916,Defacto Slim Fit Crew Neck Printed T-Shirt,399.0,25,299.04,4.5,2,official_store,defacto,Jumia
1917,"Active Short Sleeves ""Summer Forever"" Printed T-Shirt - Black",399.0,54,185.0,4.0,1,official_store,active,Jumia
1918,Activ Chest Printed Round Neck Grey T-Shirt,499.0,60,199.0,0.0,0,official_store,activ,Jumia
1919,Mesery Cotton Printed T-Shirt For Men - Maroon,299.0,54,139.0,5.0,1,official_store,mesery,Jumia
1920,Diadora Men Cotton Printed T-Shirt - Nvy/Gry,349.0,30,244.0,0.0,0,Non,Not a brand,Jumia
1921,Mesery Cotton Printed T-Shirt For Men - Gray,299.0,54,139.0,3.0,2,official_store,mesery,Jumia
1922,Izor Basic Solid Summer V-Neck T-Shirt - Black,450.0,67,149.0,3.0,1,official_store,izor,Jumia
1923,Izor Summer Short Sleeves Bull Printed T-Shirt - Blue,499.0,69,154.0,4.0,2,official_store,izor,Jumia
1924,ADIDAS CLUB TENNIS TEE HB8030,1079.0,0,1079.0,0.0,0,official_store,adidas,Jumia
1925,Defacto Slim Fit Zippered Polo Neck Short Sleeved T-Shirt,399.0,13,349.02,0.0,0,official_store,defacto,Jumia
1926,Mesery Cotton Printed T-Shirt For Men - Black,299.0,54,139.0,5.0,1,official_store,mesery,Jumia
1927,Active Bi-Tone Slip On T-Shirt - Light Olive & Heather Maroon,499.0,63,185.0,5.0,1,official_store,active,Jumia
1928,Izor Bi-Tone Splatter Short Sleeves Tee - Coral & Black,450.0,64,164.0,3.0,2,official_store,izor,Jumia
1929,Pavone Printed Short Sleeves Round Neck T-Shirt - Watermelon,350.0,62,132.0,5.0,2,Non,Not a brand,Jumia
1930,Diadora Men Sports Printed T-Shirt - Black,399.0,35,259.0,0.0,0,Non,Not a brand,Jumia
1931,Defacto Oversize Fit Crew Neck Basic Short Sleeve T-Shirt,399.0,30,278.88,5.0,2,official_store,defacto,Jumia
1932,Defacto Long Muscle Fit Crew Neck T-Shirt,299.04,5,285.18,1.0,1,official_store,defacto,Jumia
1933,Men's casual short sleeve summer men's casual 3D T-shirt fashion casual T-shirt,319.68,28,229.12,0.0,0,Non,Not a brand,Jumia
1934,Diadora Sportive Men Polo Shirt - Black,975.0,30,683.0,0.0,0,Non,Not a brand,Jumia
1935,Mens Polo T-shirt Tops Business Wear,486.08,15,415.04,0.0,0,Non,Not a brand,Jumia
